City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Bambanglipuro,ID,2022-07-21 23:37:04,-7.95,110.2833,76.55,82,98,9.98
273,Georgetown,MY,2022-07-21 23:33:44,5.4112,100.3354,82.89,91,20,3.44
274,Tamworth,GB,2022-07-21 23:32:08,52.634,-1.6959,64.65,78,99,1.99
275,Nome,US,2022-07-21 23:37:05,64.5011,-165.4064,48.27,72,100,11.5
276,Melfi,IT,2022-07-21 23:34:29,40.9965,15.6514,67.5,50,0,4.83
277,Yar-Sale,RU,2022-07-21 23:37:06,66.8333,70.8333,42.96,90,100,12.21
278,Brae,GB,2022-07-21 23:37:06,60.3964,-1.353,49.71,87,51,8.25
279,Bassano,CA,2022-07-21 23:35:49,50.7834,-112.4685,83.43,25,1,6.31
280,Ponta Do Sol,PT,2022-07-21 23:33:33,32.6667,-17.1,70.72,82,2,5.53
281,Carinhanha,BR,2022-07-21 23:37:07,-14.3047,-43.765,72.01,43,15,4.7
282,Mezhdurechensk,RU,2022-07-21 23:37:07,53.6942,88.0603,58.3,98,100,4.09
283,Bloomingdale,US,2022-07-21 23:37:08,27.8936,-82.2404,90.91,80,40,5.75
284,Diego De Almagro,CL,2022-07-21 23:37:08,-26.3667,-70.05,58.23,62,0,2.82
285,Pointe Michel,DM,2022-07-21 23:37:08,15.25,-61.3833,80.89,81,7,15.84
286,Port Antonio,JM,2022-07-21 23:37:09,18.18,-76.4612,88.0,78,54,6.82
287,Lagoa,PT,2022-07-21 23:32:27,39.05,-27.9833,71.46,89,96,4.59
288,Ihosy,MG,2022-07-21 23:37:09,-22.4,46.1167,55.4,91,47,6.02
289,Mattru,SL,2022-07-21 23:37:10,7.6244,-11.8332,72.77,92,90,3.13
290,Zemio,CF,2022-07-21 23:37:10,5.0314,25.1361,67.62,98,100,2.17
291,Port Hawkesbury,CA,2022-07-21 23:37:10,45.6169,-61.3485,77.59,83,0,4.61
292,Gamba,GA,2022-07-21 23:37:10,-2.65,10.0,70.09,95,95,5.97
